compound,paper_count,compound,paper_count,compound,paper_count,
"1,2-dichloroethane",7,Dichlorodifluoromethane (R-12),0,perfluorooctanesulfonyl fluoride,0,
"1,3-Butadiene (BD)",1,dicofol,10,perfluorooctanoic acid,46,
"1,3-butadiene",18,Dimethylformamide (DMF),95,"Phthalate (PAEs), e.g., DINP",0,
Acetonitrile,19,ethylbenzene,6,tert-butyl methyl ether,25,
acrylonitrile,10,formaldehyde,11,Tetrabromobisphenol A (TBBPA),6,
allyl alcohol,6,Hexabromocyclododecane (HBCD),2,tetrabromodiphenyl ether,2,
benzene,12,isoprocarb,1,Tetrachloroethylene,4,
Bis(2-ethylhexyl)phthalate (DEHP),4,lithium (perfluorooctane)sulfonate,0,vinyl acetate,14,
bisphenol A,59,Methylene Chloride,1,vinyl chloride,36,
butyl acrylate,8,Nonylphenol Ethoxylates (NPEs),4,,133,
chlorpyrifos,174,octabromodiphenyl ethers,0,,,
cumene,1,oxirane,15,,,
cypermethrin,188,perfluorohexanesulfonic acid,1,,,
decabromodiphenyl ether,10,perfluorooctanesulfonic acid,8,,,
,517,,154,,,
,,,,,,
